,Unnamed: 0,CITYHCR,HCTMULT,NAMEHCR,RSSDHCR,STALPHCR
2961,69757,THOMAS,ONE,"BANCWEST, INC.",1993547,OK
2962,69769,LENEXA,ONE,"GARDNER BANCSHARES, INC.",1067617,KS
2963,69770,NEW YORK,ONE,"EVERGREEN HOLDINGS, LLC",2698906,NY
2964,69772,ALVA,ONE,"COMMUNITY BANCSHARES OF ALVA, INC.",1249570,OK
2965,69773,LONGVIEW,ONE,"EAST TEXAS BANCORP, INC.",2475590,TX
2966,69779,BUFORD,ONE,"PEOPLES BANKTRUST, INC.",3466504,GA
2967,69780,LAGRANGE,MULT,"COMMUNITY BANKSHARES, INC.",1081873,GA
2968,69785,JEFFERSON CITY,ONE,"MIDWEST INDEPENDENT BANCSHARES, INC.",1142309,MO
2969,69786,ELKHART,ONE,ELKHART FINANCIAL CORPORATION,4361035,KS
2970,69790,WICHITA,ONE,"EQUITY BANCSHARES, INC.",3180547,KS
2971,69842,OAKLAND,ONE,MET FINANCIAL CORPORATION,1139439,CA
2972,69846,CHICAGO,ONE,"FIRST EAGLE BANCSHARES, INC.",1492956,IL
2973,69848,LAFAYETTE,ONE,"MIDSOUTH BANCORP, INC.",1086654,LA
2974,69890,MCALLEN,ONE,"RIO FINANCIAL SERVICES, INC.",3193033,TX
2975,69905,BRITTON,ONE,FULDA BANCORPORATION INC.,1133567,SD
2976,69918,RUSSELLVILLE,ONE,"VALLEY BANCSHARES, INC.",1493609,AL
2977,69921,JACKSONVILLE,ONE,TEXAS NATIONAL BANCORPORATION,2716471,TX
2978,69928,WEST POINT,ONE,"NATIONWIDE BANKSHARES, INC.",1132579,NE
2979,69934,RADNOR,ONE,DREXEL MORGAN & CO.,4046640,PA
2980,69935,ABINGDON,ONE,"HIGHLANDS BANKSHARES, INC.",2391270,VA
2981,69955,MILWAUKEE,ONE,BANKMANAGERS CORP.,1201363,WI
2982,69960,SPEARMAN,ONE,"SPEARMAN BANCSHARES, INC.",1840351,TX
2983,69971,DUBLIN,ONE,"DUBLIN BANCSHARES, INC.",1246953,TX
2984,70009,MARLOW,ONE,"LEADER FIRST BANCORP, INC.",2096164,OK
2985,70016,SANTA ANA,ONE,FIRST AMERICAN FINANCIAL CORPORATION,1250101,CA
2986,70026,JACKSONVILLE,ONE,"FLORIDA CAPITAL GROUP, INC.",3223828,FL
2987,70031,ROCHESTER,ONE,"GREATER ROCHESTER BANCORP, INC.",3644722,NY
2988,70050,SPRINGFIELD,ONE,"STATE BANCSHARES, INC.",1404678,MO
2989,70055,PEARLAND,ONE,"HERITAGE BANCORP, INC.",3792285,TX
2990,70060,MCCOMB,ONE,PCNB CORP.,3447428,MS
2991,70065,BOSSIER CITY,ONE,"CITIZENS NATIONAL BANCSHARES OF BOSSIER, INC.",2344856,LA
2992,70077,MIDLAND PARK,ONE,STEWARDSHIP FINANCIAL CORPORATION,2290560,NJ
2993,70097,GREENFIELD,ONE,GREENFIELD BANCORP MHC,3736690,MA
2994,70107,OAKLAND PARK,ONE,"ANB HOLDINGS, INC.",2939337,FL
2995,70108,IDAHO FALLS,ONE,BANK OF IDAHO HOLDING CO.,2561671,ID
2996,70127,CANTON,ONE,"CANTON BANCSHARES, INC.",1137293,OK
2997,70139,FITCHBURG,ONE,FIDELITY MUTUAL HOLDING COMPANY,3454220,MA
2998,70169,PEABODY,ONE,NORTH SHORE BANCORP,2621182,MA
2999,70182,BRAINERD,ONE,"AMERICAN BANCORPORATION OF MINNESOTA, INC.",3047172,MN
3000,70191,MELROSE,ONE,"MELROSE BANCORP, INC.",4647887,MA
3001,70197,HYANNIS,ONE,"COASTAL AFFILIATES, MHC",3444801,MA
3002,70213,OBERLIN,ONE,"DECATUR INVESTMENT, INC.",1137855,KS
3003,70224,EASTHAMPTON,MULT,HOMETOWN FINANCIAL GROUP MHC,3728930,MA
3004,70237,FAIRBANKS,ONE,"DENALI BANCORPORATION, INC.",1989241,AK
3005,70248,DESOTO,ONE,"D BANCORP, INC.",2127022,TX
3006,70249,WICHITA FALLS,ONE,"WICHITA FALLS BANCSHARES, INC.",1137538,TX
3007,70255,NORWOOD,ONE,1889 BANCORP MHC,3960897,MA
3008,70258,VIDALIA,ONE,CENTRAL LOUISIANA CAPITAL CORPORATION,1109571,LA
3009,70266,DARLINGTON,ONE,"DARLINGTON COUNTY BANCSHARES, INC.",2798440,SC
3010,70274,EAST WEYMOUTH,ONE,"EQUITABLE BANCORP, MHC",3398315,MA
3011,70290,BEVERLY,ONE,"BEVERLY FINANCIAL, MHC",3197835,MA
3012,70297,MEDWAY,ONE,"CHARLES RIVER BANCORP, MHC",3966022,MA
3013,70301,WELLESLEY,ONE,WELLESLEY BANCORP INC,4325121,MA
3014,70307,LOS ANGELES,ONE,"HOPE BANCORP, INC.",2961879,CA
3015,70373,DALLAS,ONE,UTB FINANCIAL HOLDING COMPANY,4378529,TX
3016,70375,GRAPEVINE,ONE,"GREATER SOUTHWEST BANCSHARES, INC.",1141384,TX
3017,70386,GEORGE TOWN,ONE,DELTA INVESTMENT COMPANY (CAYMAN),1135468,
3018,70388,TAUNTON,ONE,"MECHANICS BANCORP, MHC",4262347,MA
3019,70415,JOHNSON CITY,ONE,"BANDERA BANCSHARES, INC.",1139671,TX
3020,70416,SAN ANGELO,MULT,EDEN FINANCIAL CORPORATION,1140967,TX
3021,70417,OKLAHOMA CITY,ONE,"BANKERS BANCORP OF OKLAHOMA, INC.",1138209,OK
3022,70419,NICEVILLE,ONE,BANKSHARES CORPORATION OF NICEVILLE,1363793,FL
3023,70422,LA CROSSE,ONE,DAIRYLAND BANK HOLDING CORPORATION,2029368,WI
3024,70436,FORT WORTH,ONE,RIVERBEND FINANCIAL CORPORATION,3391679,TX
3025,70438,BRASILIA,ONE,BANCO DO BRASIL S.A.,1242076,
3026,70456,IOWA FALLS,ONE,GREEN BELT BANCORPORATION,1140958,IA
3027,70464,SEOUL,ONE,HANA FINANCIAL GROUP INC.,3400937,
3028,70467,SALT LAKE CITY,ONE,HOME CREDIT CORPORATION,1480560,UT
3029,70476,DADE CITY,ONE,"FLORIDA BANCSHARES, INC.",2552400,FL
3030,70480,CHESTERTOWN,ONE,CHESAPEAKE BANCORP EMPLOYEE STOCK OWNERSHIP PLAN WITH 401(K) PROVISIONS,2857758,MD
3031,70483,LAREDO,ONE,FALCON BANCSHARES INCORPORATED,2270254,TX
3032,70501,MIDLOTHIAN,ONE,CBB FINANCIAL CORP.,3848632,VA
3033,70502,GIBRALTAR,ONE,SNBNY HOLDINGS LIMITED,2368106,
3034,70504,SACRAMENTO,ONE,"GOLDEN PACIFIC BANCORP, INC.",2930419,CA
3035,70508,SAINT CLOUD,ONE,"LIBERTY FINANCIAL SERVICES OF ST. CLOUD, INC.",3800658,MN
3036,70514,HARLINGEN,ONE,"TEXAS STATE BANKSHARES, INC.",4076937,TX
3037,70533,ALBIA,ONE,PEOPLES TRI-COUNTY BANCORPORATION,1141469,IA
3038,70536,CHARLESTON,ONE,BANK OF SOUTH CAROLINA CORPORATION,2297701,SC
3039,70543,DEER LODGE,ONE,SANDQUIST CORP.,1144077,MT
3040,70544,OSCEOLA,ONE,OSCEOLA BANCORPORATION,1144095,IA
3041,70548,CLEVELAND,ONE,BRADLEY COUNTY FINANCIAL CORP.,1399774,TN
3042,70554,LEBANON,ONE,WILSON BANK HOLDING COMPANY,2004141,TN
3043,70582,FORT WORTH,ONE,TEXAS BANC FINANCIAL CORPORATION,4126225,TX
3044,70586,DENVER,ONE,YOUNG AMERICANS EDUCATION FOUNDATION,1840883,CO
3045,70589,MILTON,ONE,LAZARES & COMPANY LLC,4184177,MA
3046,70591,DENVER,ONE,NATIVE AMERICAN BANCORPORATION CO.,2943419,CO
3047,70593,SANGER,ONE,"SANGER BANCSHARES, INC.",2497837,TX
3048,70595,TAMPA,ONE,"PILOT BANCSHARES, INC.",2345844,FL
3049,70601,CHANUTE,ONE,"COMMUNITY BANCORP, INC.",1247398,KS
3050,70643,TOKYO,ONE,"SUMITOMO MITSUI TRUST HOLDINGS, INC.",4224297,
3051,70644,DALLAS,ONE,"SBT BANCSHARES, INC.",3308677,TX
3052,70664,CULLMAN,ONE,"FCB BANCSHARES, INC.",2226484,AL
3053,70676,FRESNO,ONE,UNITED SECURITY BANCSHARES,3015975,CA
3054,70689,TRENTON,ONE,TAG BANCSHARES INC.,3839313,GA
3055,70692,HENNESSEY,ONE,"WARRIOR BANK CORPORATION, INC.",1249749,OK
3056,70699,OLNEY,ONE,"OLNEY BANCSHARES OF TEXAS, INC.",2233950,TX
3057,70744,SHELBYVILLE,ONE,"FIRST COMMUNITY BANCORP, INC.",2016340,TN
3058,70749,FRANKFORT,ONE,"INDEPENDENT COMMUNITY BANCORP, INC.",1248005,KY
3059,70750,NEW YORK,ONE,"COUNTRY BANK HOLDING COMPANY, INC.",3200230,NY
3060,70765,FORT WAYNE,ONE,"STAR FINANCIAL GROUP, INC.",1141647,IN
3061,70802,CLAYTON,ONE,ENTERPRISE FINANCIAL SERVICES CORP,2303910,MO
3062,70899,STAMFORD,ONE,SYNCHRONY FINANCIAL,4504654,CT
3063,70903,LA JOLLA,ONE,SILVERGATE CAPITAL CORPORATION,3695667,CA
3064,70906,PHILADELPHIA,ONE,"REPUBLIC FIRST BANCORP, INC.",1398807,PA
3065,70935,BRIDGEPORT,ONE,"PEOPLE'S UNITED FINANCIAL, INC.",3650152,CT
3066,71349,WICHITA,ONE,"BBOK BANCSHARES, INC.",1250754,KS
3067,71350,SPRINGFIELD,ONE,"AMERICAN CENTRAL BANCORPORATION, INC.",1095414,IL
3068,71370,MUSCLE SHOALS,ONE,FIRST METRO BANCORP,1980846,AL
3069,71391,PARIS,ONE,"TEXAS PEOPLES NATIONAL BANCSHARES, INC.",1406953,TX
3070,71394,LOWELL,ONE,"ENTERPRISE BANCORP, INC.",2461016,MA
3071,71418,MARYLAND HEIGHTS,ONE,"COMMERCIAL BANCSHARES, INC.",3101560,MO
3072,71422,WARWICK,ONE,GEESALA TRUST #3,5278457,RI
3073,71425,NEW YORK,ONE,AMERICAN EXPRESS COMPANY,1275216,NY
3074,71426,OKLAHOMA CITY,ONE,BANCFIRST CORPORATION,1133286,OK
3075,71540,WALTERBORO,ONE,COMMUNITYCORP,2352842,SC
3076,71545,NEW YORK,ONE,BERKSHIRE BANCORP INC.,2728157,NY
3077,71557,LANCASTER,ONE,"SSNB, INC.",3338692,OH
3078,71570,CRANBURY,ONE,1ST CONSTITUTION BANCORP,2784920,NJ
