,Unnamed: 0,ADDRESS,ASSET,BKCLASS,CALL,CERT,CHARTER,CHRTAGNN,CHRTAGNT,CITY,CLCODE,CNTRYNA,DENOVO,DEPDOM,DEPSUM,DOCKET,ESCROW,FDICDBS,FDICNAME,FED,FEDNAME,INSAGNT1,INSBRDD,INSBRTS,INSURED,NAMEFULL,OCCDIST,OCCNAME,REGAGNT,RSSDID,SPECDESC,SPECGRP,STALP,STCNTY,STNAME,UNIT,USA,ZIP
4999,56781,106 North Main Street,28540.0,NM,CALL,16585,STATE,State Agency,STATE,Vermont,21,,0.0,25977.0,25977.0,0,,9,Chicago,7,Chicago,DIF,,,CB,Vermont State Bank,3,Central District,FDIC,187648,CONSUMER LENDING,6,IL,17057,Illinois,1.0,1,61484
5001,56784,225 East Three Notch Street,514119.0,NM,CALL,16595,STATE,State Agency,STATE,Andalusia,21,United States,0.0,430882.0,430882.0,11147,,5,Atlanta,6,Atlanta,DIF,,,CB,CCB Community Bank,5,Southwest District,FDIC,655839,AGRICULTURAL,2,AL,1039,Alabama,0.0,1,36420
5002,56786,103 Manzanares Avenue,149092.0,NM,CALL,16600,STATE,State Agency,STATE,Socorro,21,United States,0.0,132907.0,132907.0,0,,13,Dallas,11,Dallas,DIF,,,CB,First State Bank,4,Midwest District,FDIC,497655,OTHER < $1 BILLION,7,NM,35053,New Mexico,0.0,1,87801
5004,56790,201 South Davis Street,167379.0,NM,CALL,16601,STATE,State Agency,STATE,Hamilton,21,United States,0.0,151349.0,151349.0,12437,,11,Kansas City,10,Kansas City,DIF,,,CB,Bank Northwest,4,Midwest District,FDIC,645157,AGRICULTURAL,2,MO,29025,Missouri,0.0,1,64644
5006,56795,116 South Main,66157.0,SM,CALL,16603,STATE,State Agency,STATE,Marion,13,United States,0.0,58296.0,58296.0,0,,9,Chicago,8,St. Louis,DIF,,,CB,The Peoples Bank,3,Central District,FED,446149,COMMERCIAL LENDING,4,KY,21055,Kentucky,0.0,1,42064
5009,56819,710 South Montgomery Avenue,1671518.0,SM,CALL,16604,STATE,State Agency,STATE,Sheffield,13,United States,0.0,1385862.0,1385862.0,9993,,5,Atlanta,6,Atlanta,DIF,,,CB,Bank Independent,5,Southwest District,FED,539032,COMMERCIAL LENDING,4,AL,1033,Alabama,0.0,1,35660
5010,56826,Ashley Street And Second Avenue,26691.0,NM,CALL,16609,STATE,State Agency,STATE,Rochelle,21,,0.0,21493.0,21493.0,0,,5,Atlanta,6,Atlanta,DIF,,,CB,Rochelle State Bank,5,Southwest District,FDIC,649632,AGRICULTURAL,2,GA,13315,Georgia,1.0,1,31079
5012,56828,121 East Canal Street,204257.0,N,CALL,16612,FED,Comptroller of the Currency,OCC,Picayune,3,United States,0.0,171732.0,171732.0,11995,,13,Dallas,6,Atlanta,DIF,,,CB,First National Bank of Picayune,5,Southwest District,OCC,568939,COMMERCIAL LENDING,4,MS,28109,Mississippi,0.0,1,39466
5013,56833,103 Dodd Street,258816.0,NM,CALL,16620,STATE,State Agency,STATE,Middlebourne,21,United States,0.0,223134.0,223134.0,12220,,5,Atlanta,4,Cleveland,DIF,,,CB,"Union Bank, Inc.",1,Northeast District,FDIC,667029,ALL OTHER < $1 BILLION,8,WV,54095,West Virginia,0.0,1,26149
5016,56843,8th And Merchant Streets,239612.0,NM,CALL,16629,STATE,State Agency,STATE,Emporia,21,United States,0.0,206214.0,206214.0,11230,,11,Kansas City,10,Kansas City,DIF,,,CB,ESB Financial,4,Midwest District,FDIC,918954,COMMERCIAL LENDING,4,KS,20111,Kansas,0.0,1,66801
5018,56846,5900 Green Oak Drive,49178.0,NM,CALL,16635,STATE,State Agency,STATE,Minnetonka,21,United States,0.0,38978.0,38978.0,0,,11,Kansas City,9,Minneapolis,DIF,,,CB,American Equity Bank,3,Central District,FDIC,310754,COMMERCIAL LENDING,4,MN,27053,Minnesota,0.0,1,55343
5019,56847,129 Main Street,836712.0,SB,CALL,16636,STATE,State Agency,STATE,Torrington,42,,0.0,666322.0,666322.0,12135,,2,New York,1,Boston,DIF,,,SA,The Torrington Savings Bank,1,Northeast District,FDIC,65205,MORTGAGE LENDING,5,CT,9005,Connecticut,0.0,1,6790
